site1-1,site1-2,site1-3,site1-4,site2-1,site2-2,site2-3,site2-4,site2-5,bedrock,site3,Area1,Area2,River,Area3
,,,,,,,,,,,,2472,,
,,,,,,,,,,,,930,,
,,,,,,,,,,,,1766,,
,,,,,,,,,,,,258,,
,,,,,,,,,,,,266,,
,,,,,,,,,,,,1678,,
,,,,,,,,,,,,458,,
,,,,,,,,,,,,290,,
,,,,,,,,,,,,259,,
,,,,,,,,,,,,308,,
,,,,,,,,,,,,423,,
,,,,,,,,,,,,2672,,
,,,,,,,,,,,,1857,,
,,,,,,,,,,,,322,,
,,,,,,,,,,,,265,,
